method,buffer_size,sync_mode,total_bytes,real_sec,user_sec,sys_sec,mib_per_sec,notes
read,1,n/a,524288000,245.518667698,109.513810000,135.347544000,2.036505,read()
read,2,n/a,524288000,122.690919054,53.893181000,68.485185000,4.075281,read()
read,4,n/a,524288000,61.373927875,27.070636000,34.149823000,8.146782,read()
read,8,n/a,524288000,30.924880136,13.443567000,17.403910000,16.168211,read()
read,16,n/a,524288000,15.449004911,7.071972000,8.337526000,32.364544,read()
read,32,n/a,524288000,7.967304148,3.445333000,4.501508000,62.756485,read()
read,64,n/a,524288000,3.994719952,2.134229000,1.849846000,125.165220,read()
read,128,n/a,524288000,2.003122526,0.972415000,1.025255000,249.610293,read()
read,256,n/a,524288000,1.000496612,0.510262000,0.487258000,499.751817,read()
read,512,n/a,524288000,0.501895964,0.240138000,0.260053000,996.222396,read()
read,1024,n/a,524288000,0.252193553,0.106699000,0.144605000,1982.604210,read()
read,2048,n/a,524288000,0.141084506,0.039903000,0.100711000,3543.975268,read()
read,4096,n/a,524288000,0.084183504,0.025998000,0.057906000,5939.405896,read()
read,8192,n/a,524288000,0.053670470,0.013800000,0.039670000,9316.109958,read()
read,16384,n/a,524288000,0.039754632,0.007312000,0.032311000,12577.150758,read()
read,32768,n/a,524288000,0.031439052,0.001737000,0.029596000,15903.787430,read()
read,65536,n/a,524288000,0.028356466,0.000159000,0.028105000,17632.662688,read()
read,16777216,n/a,524288000,0.027136097,0.000061000,0.026986000,18425.641683,read()
getc,1,n/a,524288000,1.335949886,1.266041000,0.066135000,374.265536,getc() macro path
fgetc,1,n/a,524288000,1.234913793,1.156086000,0.075269000,404.886562,fgetc() function path
fread,1,n/a,524288000,3.427497754,3.359709000,0.058465000,145.879016,fread()
fread,2,n/a,524288000,1.861225168,1.792150000,0.063920000,268.640253,fread()
fread,4,n/a,524288000,0.999440213,0.923046000,0.073430000,500.280050,fread()
fread,8,n/a,524288000,0.515403365,0.464587000,0.049047000,970.113961,fread()
fread,16,n/a,524288000,0.297103947,0.248173000,0.047896000,1682.912681,fread()
fread,32,n/a,524288000,0.189141385,0.138590000,0.049892000,2643.525107,fread()
fread,64,n/a,524288000,0.132786812,0.088594000,0.043735000,3765.434176,fread()
fread,128,n/a,524288000,0.111371468,0.053527000,0.057456000,4489.480196,fread()
fread,256,n/a,524288000,0.100422391,0.041051000,0.059026000,4978.969282,fread()
